Indicator,Reporting Economy,Partner Economy,Period,Unit,Year,Value
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2018,27027.95563
Commercial services exports of selected economies – monthly,China,World,December,Million US dollar,2019,30740.8406
Commercial services exports of selected economies – monthly,India,World,January,Million US dollar,2020,18985
Commercial services exports of selected economies – monthly,India,World,January,Million US dollar,2019,17745
Commercial services exports of selected economies – monthly,India,World,January,Million US dollar,2018,16337
Commercial services exports of selected economies – monthly,India,World,February,Million US dollar,2018,15709
Commercial services exports of selected economies – monthly,India,World,February,Million US dollar,2019,16584
Commercial services exports of selected economies – monthly,India,World,February,Million US dollar,2020,17725
Commercial services exports of selected economies – monthly,India,World,March,Million US dollar,2020,18163
Commercial services exports of selected economies – monthly,India,World,March,Million US dollar,2019,17944
Commercial services exports of selected economies – monthly,India,World,March,Million US dollar,2018,16834
Commercial services exports of selected economies – monthly,India,World,April,Million US dollar,2018,17563
Commercial services exports of selected economies – monthly,India,World,April,Million US dollar,2019,18062
Commercial services exports of selected economies – monthly,India,World,April,Million US dollar,2020,16450
Commercial services exports of selected economies – monthly,India,World,May,Million US dollar,2020,16766
Commercial services exports of selected economies – monthly,India,World,May,Million US dollar,2019,18679
Commercial services exports of selected economies – monthly,India,World,May,Million US dollar,2018,16173
Commercial services exports of selected economies – monthly,India,World,June,Million US dollar,2018,16872
Commercial services exports of selected economies – monthly,India,World,June,Million US dollar,2020,16995
Commercial services exports of selected economies – monthly,India,World,June,Million US dollar,2019,18552
Commercial services exports of selected economies – monthly,India,World,July,Million US dollar,2020,17031
Commercial services exports of selected economies – monthly,India,World,July,Million US dollar,2018,17553
Commercial services exports of selected economies – monthly,India,World,July,Million US dollar,2019,19084
Commercial services exports of selected economies – monthly,India,World,August,Million US dollar,2019,18244
Commercial services exports of selected economies – monthly,India,World,August,Million US dollar,2018,16526
Commercial services exports of selected economies – monthly,India,World,August,Million US dollar,2020,16441
Commercial services exports of selected economies – monthly,India,World,September,Million US dollar,2020,17285
Commercial services exports of selected economies – monthly,India,World,September,Million US dollar,2018,16381
Commercial services exports of selected economies – monthly,India,World,September,Million US dollar,2019,17536
