Indicator,Reporting Economy,Partner Economy,Period,Unit,Year,Value
Total merchandise exports - monthly,Spain,World,September,Million US dollar,2020,28901.72032
Total merchandise exports - monthly,Spain,World,September,Million US dollar,2019,26956.82892
Total merchandise exports - monthly,Spain,World,September,Million US dollar,2018,27481.89526
Total merchandise exports - monthly,Spain,World,October,Million US dollar,2018,30772.41156
Total merchandise exports - monthly,Spain,World,October,Million US dollar,2019,30107.37723
Total merchandise exports - monthly,Spain,World,October,Million US dollar,2020,29885.53875
Total merchandise exports - monthly,Spain,World,November,Million US dollar,2020,29397.66054
Total merchandise exports - monthly,Spain,World,November,Million US dollar,2019,27940.2433
Total merchandise exports - monthly,Spain,World,November,Million US dollar,2018,29143.96497
Total merchandise exports - monthly,Spain,World,December,Million US dollar,2018,25743.09456
Total merchandise exports - monthly,Spain,World,December,Million US dollar,2019,26312.36123
Total merchandise exports - monthly,Spain,World,December,Million US dollar,2020,29410.8739
Total merchandise exports - monthly,United States of America,World,January,Million US dollar,2019,129607.5277
Total merchandise exports - monthly,United States of America,World,January,Million US dollar,2020,128993.1521
Total merchandise exports - monthly,United States of America,World,January,Million US dollar,2018,125218.6016
Total merchandise exports - monthly,United States of America,World,February,Million US dollar,2018,128057.322
Total merchandise exports - monthly,United States of America,World,February,Million US dollar,2020,132181.5838
Total merchandise exports - monthly,United States of America,World,February,Million US dollar,2019,129918.5098
Total merchandise exports - monthly,United States of America,World,March,Million US dollar,2019,148471.9227
Total merchandise exports - monthly,United States of America,World,March,Million US dollar,2018,149164.3692
Total merchandise exports - monthly,United States of America,World,March,Million US dollar,2020,134559.9022
Total merchandise exports - monthly,United States of America,World,April,Million US dollar,2020,95799.29054
Total merchandise exports - monthly,United States of America,World,April,Million US dollar,2018,137647.5375
Total merchandise exports - monthly,United States of America,World,April,Million US dollar,2019,134838.2181
Total merchandise exports - monthly,United States of America,World,May,Million US dollar,2019,142237.4333
Total merchandise exports - monthly,United States of America,World,May,Million US dollar,2018,144592.8319
Total merchandise exports - monthly,United States of America,World,May,Million US dollar,2020,90548.89376
Total merchandise exports - monthly,United States of America,World,June,Million US dollar,2020,105055.9788
Total merchandise exports - monthly,United States of America,World,June,Million US dollar,2018,145133.6261
Total merchandise exports - monthly,United States of America,World,June,Million US dollar,2019,137870.1284
Total merchandise exports - monthly,United States of America,World,July,Million US dollar,2019,133129.2212
Total merchandise exports - monthly,United States of America,World,July,Million US dollar,2018,133428.8644
Total merchandise exports - monthly,United States of America,World,July,Million US dollar,2020,112826.5697
Total merchandise exports - monthly,United States of America,World,August,Million US dollar,2020,118044.4699
Total merchandise exports - monthly,United States of America,World,August,Million US dollar,2018,139760.3107
Total merchandise exports - monthly,United States of America,World,August,Million US dollar,2019,138310.3278
Total merchandise exports - monthly,United States of America,World,September,Million US dollar,2018,139262.2438
Total merchandise exports - monthly,United States of America,World,September,Million US dollar,2019,134162.0661
Total merchandise exports - monthly,United States of America,World,September,Million US dollar,2020,121468.835
Total merchandise exports - monthly,United States of America,World,October,Million US dollar,2020,132571.0574
Total merchandise exports - monthly,United States of America,World,October,Million US dollar,2019,142417.6684
Total merchandise exports - monthly,United States of America,World,October,Million US dollar,2018,146983.2142
Total merchandise exports - monthly,United States of America,World,November,Million US dollar,2018,140372.901
Total merchandise exports - monthly,United States of America,World,November,Million US dollar,2019,136940.2711
Total merchandise exports - monthly,United States of America,World,November,Million US dollar,2020,127024.0019
Total merchandise exports - monthly,United States of America,World,December,Million US dollar,2020,132564.6638
Total merchandise exports - monthly,United States of America,World,December,Million US dollar,2019,135257.5583
Total merchandise exports - monthly,United States of America,World,December,Million US dollar,2018,134360.4307
Commercial services imports of selected economies – monthly,China,World,January,Million US dollar,2019,211781.0267
Commercial services imports of selected economies – monthly,China,World,January,Million US dollar,2018,214600.2679
Commercial services imports of selected economies – monthly,China,World,February,Million US dollar,2018,174625.597
Commercial services imports of selected economies – monthly,China,World,February,Million US dollar,2019,159580.4744
Commercial services imports of selected economies – monthly,China,World,March,Million US dollar,2019,198172.0767
Commercial services imports of selected economies – monthly,China,World,March,Million US dollar,2018,218751.3896
Commercial services imports of selected economies – monthly,China,World,March,Million US dollar,2020,190418.3513
Commercial services imports of selected economies – monthly,China,World,April,Million US dollar,2020,176172.096
Commercial services imports of selected economies – monthly,China,World,April,Million US dollar,2018,207477.1495
Commercial services imports of selected economies – monthly,China,World,April,Million US dollar,2019,213357.4424
Commercial services imports of selected economies – monthly,China,World,May,Million US dollar,2019,202640.5699
Commercial services imports of selected economies – monthly,China,World,May,Million US dollar,2018,226087.3788
Commercial services imports of selected economies – monthly,China,World,May,Million US dollar,2020,164155.2722
Commercial services imports of selected economies – monthly,China,World,June,Million US dollar,2020,187515.5842
Commercial services imports of selected economies – monthly,China,World,June,Million US dollar,2018,203959.4646
Commercial services imports of selected economies – monthly,China,World,June,Million US dollar,2019,189959.2671
Commercial services imports of selected economies – monthly,China,World,July,Million US dollar,2019,210436.6247
Commercial services imports of selected economies – monthly,China,World,July,Million US dollar,2018,219426.6702
Commercial services imports of selected economies – monthly,China,World,July,Million US dollar,2020,197155.4758
Commercial services imports of selected economies – monthly,China,World,August,Million US dollar,2018,224572.0942
Commercial services imports of selected economies – monthly,China,World,August,Million US dollar,2019,214563.0865
Commercial services imports of selected economies – monthly,China,World,August,Million US dollar,2020,199145.1388
