Date,Open,High,Low,Close,Adj Close,Volume
2/5/21,1794.30005,1813.5,1790.90002,1810.90002,1810.90002,1278
2/8/21,1816.30005,1836.69995,1809,1831.90002,1831.90002,254
2/9/21,1841.90002,1843.30005,1830.69995,1835.30005,1835.30005,184
2/10/21,1842.59998,1851.09998,1837,1840.59998,1840.59998,543
2/11/21,1840.5,1845,1820.90002,1824.90002,1824.90002,602
2/12/21,1825,1827.5,1809.19995,1821.59998,1821.59998,259
2/16/21,1820.90002,1823.40002,1787.30005,1797.19995,1797.19995,1141
2/17/21,1785.80005,1789.69995,1768.80005,1771.09998,1771.09998,614
2/18/21,1776.09998,1784.59998,1766,1773.40002,1773.40002,587
2/19/21,1764.30005,1787.59998,1764.30005,1775.80005,1775.80005,118
2/22/21,1784,1807.80005,1784,1806.69995,1806.69995,165
2/23/21,1809.59998,1811.30005,1796.40002,1804.40002,1804.40002,569
2/24/21,1805.80005,1805.80005,1796.40002,1796.40002,1796.40002,1500
2/25/21,1801.5,1802,1766.69995,1774.40002,1774.40002,1049
2/26/21,1768.09998,1768.19995,1718.80005,1728.09998,1728.09998,1593
3/1/21,1737.09998,1747,1720.30005,1722.5,1722.5,407
3/2/21,1709.40002,1733.09998,1708.69995,1733.09998,1733.09998,867
3/3/21,1730,1732.40002,1703.5,1715.30005,1715.30005,501
3/4/21,1706.5,1717.40002,1700.19995,1700.19995,1700.19995,521
3/5/21,1690.59998,1701,1685,1698,1698,302
3/8/21,1704.69995,1705.40002,1673.69995,1677.69995,1677.69995,1290
3/9/21,1686.19995,1717.5,1685.19995,1716.59998,1716.59998,335
3/10/21,1713.59998,1722.90002,1711,1721.5,1721.5,412
3/11/21,1725.59998,1737.5,1720.19995,1722.30005,1722.30005,18
3/12/21,1715.90002,1722.5,1699,1719.5,1719.5,80
3/15/21,1729.5,1731.90002,1722.80005,1728.90002,1728.90002,147
3/16/21,1732.30005,1733.90002,1726,1730.59998,1730.59998,729
3/17/21,1735.30005,1750.09998,1725.59998,1726.80005,1726.80005,488
3/18/21,1745.80005,1750.30005,1721.80005,1732.19995,1732.19995,138
3/19/21,1742.19995,1742.19995,1733.59998,1741.40002,1741.40002,13
3/22/21,1737.80005,1737.80005,1737.80005,1737.80005,1737.80005,13
